Accuracy,Loss
27.096774193548388,2.9041101286488193
19.10282258064516,2.242059026225921
32.23790322580645,1.9823098305732973
19.516129032258064,3.4008406054589058
23.387096774193548,3.6235583751432356
29.969758064516128,3.559988300261959
30.987903225806452,4.442138298096196
28.77016129032258,8.22277359808645
24.0625,7.3571405503057665
21.411290322580644,10.41750468284853
11.633064516129032,24.53100846813571
22.43951612903226,14.124717940053632
28.508064516129032,12.9545502631895
21.280241935483872,31.48421150945848
17.197580645161292,24.256138912323983
33.27620967741935,18.121886554841073
22.24798387096774,48.15377301862163
29.758064516129032,16.4415867405553
34.475806451612904,17.321674746851766
24.153225806451612,24.225921150945847
31.078629032258064,17.12136036657518
21.703629032258064,45.85137869311917
35.86693548387097,17.50730050609958
10.90725806451613,69.64279029600083
16.471774193548388,46.169388887959144
28.266129032258064,30.849016435684696
24.193548387096776,45.53576501415622
22.006048387096776,49.9302234772713
18.175403225806452,70.04291352302798
26.643145161290324,48.27195457950715
18.699596774193548,78.41239801222278
23.326612903225808,40.64696553137995
15.514112903225806,146.3573746711977
