Accuracy,Loss
98.98185483870968,0.04626620369216976
98.93145161290323,0.046705291372669426
98.93145161290323,0.04844052924017887
98.87096774193549,0.05079743449553667
98.81048387096774,0.05389116574735982
98.63911290322581,0.05817686827053436
98.41733870967742,0.06380139118691365
98.25604838709677,0.07043334136777107
97.98387096774194,0.0777162348044165
97.77217741935483,0.0853870186451522
97.5100806451613,0.09434605880805681
97.22782258064517,0.10453259889937697
96.83467741935483,0.11522254247458712
96.43145161290323,0.12764033748798312
96.0383064516129,0.14343381370868413
95.47379032258064,0.158765072748065
95.06048387096774,0.17500234539470366
94.63709677419355,0.19137456599743136
94.02217741935483,0.210178645459875
93.40725806451613,0.2292494035536243
92.70161290322581,0.252941862229378
91.82459677419355,0.27759620035367627
91.2600806451613,0.3048333560266802
90.28225806451613,0.3344610861232204
89.19354838709677,0.3669752180095642
88.1149193548387,0.40126759544495616
86.875,0.4446479783904168
84.8991935483871,0.49996673935844055
83.20564516129032,0.5613337408150396
80.97782258064517,0.6318749914246221
78.55846774193549,0.7139430015317856
75.70564516129032,0.8046871508321455
72.70161290322581,0.9031440102284954
69.33467741935483,1.0085595430866365
65.65524193548387,1.125091907285875
61.44153225806452,1.2534912486230174
57.11693548387097,1.4033221429394138
52.127016129032256,1.5871068154611896
47.06653225806452,1.7885898405505765
41.76411290322581,2.016875733098676
36.774193548387096,2.2970137688421435
30.171370967741936,2.650050553967876
24.41532258064516,3.111234555705901
18.79032258064516,3.7252248010327738
14.546370967741936,4.552632568728539
12.51008064516129,5.778620759902462
11.693548387096774,7.831363151919457
10.534274193548388,12.09976162449006
