No Attack,Veiled MinMax,Isolated Knowledge,Collaborative MinMax
,89.8487903225806,89.8487903225806,89.8487903225806
,77.0866935483871,76.3709677419355,75.7862903225806
,61.491935483871,62.8528225806452,63.3366935483871
,50.5141129032258,47.9334677419355,48.1048387096774
,52.5302419354839,51.179435483871,51.008064516129
,60.9979838709677,55.9375,55.9173387096774
,56.0483870967742,62.7016129032258,62.1270161290323
,62.883064516129,62.7923387096774,63.4576612903226
,66.4616935483871,58.3870967741936,60.8870967741936
,64.5564516129032,67.883064516129,70.1209677419355
,72.3084677419355,73.9616935483871,76.9052419354839
,70.7056451612903,74.1532258064516,78.0645161290323
,72.1572580645161,74.7379032258065,76.0483870967742
,75.8467741935484,76.5120967741936,76.6028225806452
,77.8427419354839,78.5483870967742,79.8185483870968
,81.4314516129032,82.4596774193548,81.9254032258065
,82.3689516129032,83.7701612903226,83.3266129032258
,85.0504032258065,84.4153225806452,84.5463709677419
,85.4133064516129,85.695564516129,84.2842741935484
,85.8770161290323,86.4314516129032,84.7782258064516
,85.1310483870968,86.3104838709677,83.9415322580645
,86.8245967741936,87.0161290322581,84.7379032258065
,87.570564516129,86.4012096774194,85.2217741935484
,87.7620967741936,85.6350806451613,85.1108870967742
,88.054435483871,86.491935483871,85.3024193548387
,87.0564516129032,86.4012096774194,86.2298387096774
,87.3689516129032,87.8024193548387,87.1774193548387
,87.9536290322581,88.2157258064516,88.3770161290323
,88.4173387096774,88.6995967741936,88.5181451612903
,88.8911290322581,88.7701612903226,87.9435483870968
,88.7701612903226,89.616935483871,88.820564516129
,88.8709677419355,87.8629032258065,89.0826612903226
,89.2842741935484,87.7923387096774,89.133064516129
,89.2943548387097,88.4778225806452,88.9012096774194
,89.6370967741936,88.6895161290323,88.7197580645161
,89.7479838709677,88.2157258064516,88.6290322580645
,90.1612903225806,89.2842741935484,88.6189516129032
,90.1411290322581,89.9697580645161,89.8487903225806
,90.4133064516129,90.0604838709677,90.7358870967742
,90.2318548387097,89.304435483871,90.1108870967742
,90.6653225806452,89.3951612903226,89.5665322580645
,91.0282258064516,89.9697580645161,89.8387096774194
,90.8165322580645,90.0907258064516,90.1108870967742
,90.9576612903226,89.6975806451613,89.7681451612903
,90.9979838709677,89.7076612903226,90.0504032258065
,90.383064516129,89.1129032258065,89.5463709677419
,89.7379032258065,88.7399193548387,89.8689516129032
,90.866935483871,89.3548387096774,90.4737903225806
,91.2802419354839,90.554435483871,90.0403225806452
,91.2903225806452,90.6048387096774,89.8084677419355
