No attack,Collaborative MinMax,Isolated Knowledge MinMax,Veiled MinMax
89.2540322580645,89.2540322580645,89.5463709677419,89.2540322580645
63.054435483871,84.6270161290323,86.8346774193548,63.054435483871
71.5524193548387,49.4052419354839,78.2459677419355,71.5524193548387
42.3891129032258,10.2520161290323,43.2459677419355,42.3891129032258
61.1189516129032,9.96975806451613,15.3729838709677,61.1189516129032
53.4072580645161,9.96975806451613,7.93346774193548,53.4072580645161
49.7983870967742,9.96975806451613,9.375,49.7983870967742
49.0826612903226,9.96975806451613,9.375,49.0826612903226
50.6754032258065,9.96975806451613,9.375,50.6754032258065
53.4979838709677,9.96975806451613,9.375,53.4979838709677
55.9173387096774,9.96975806451613,9.375,55.9173387096774
62.1471774193548,9.96975806451613,9.375,62.1471774193548
67.3185483870968,9.96975806451613,9.375,67.3185483870968
66.6935483870968,9.96975806451613,9.375,66.6935483870968
70.2620967741936,9.96975806451613,9.375,70.2620967741936
72.7318548387097,9.96975806451613,9.375,72.7318548387097
74.3245967741936,9.96975806451613,9.375,74.3245967741936
74.3951612903226,9.96975806451613,9.375,74.3951612903226
76.7641129032258,9.96975806451613,9.375,76.7641129032258
81.4112903225806,9.96975806451613,9.375,81.4112903225806
83.1552419354839,9.96975806451613,9.375,83.1552419354839
83.9314516129032,9.96975806451613,9.375,83.9314516129032
83.8508064516129,9.96975806451613,9.375,83.8508064516129
83.6088709677419,9.96975806451613,9.375,83.6088709677419
84.9193548387097,9.96975806451613,9.375,84.9193548387097
85.695564516129,9.96975806451613,9.375,85.695564516129
84.5766129032258,9.96975806451613,9.375,84.5766129032258
86.0383064516129,9.96975806451613,9.375,86.0383064516129
85.2620967741936,9.96975806451613,9.375,85.2620967741936
85.3528225806452,9.96975806451613,9.375,85.3528225806452
86.2802419354839,9.96975806451613,9.375,86.2802419354839
86.8145161290323,9.96975806451613,9.375,86.8145161290323
86.9052419354839,9.96975806451613,9.375,86.9052419354839
87.2681451612903,9.96975806451613,9.375,87.2681451612903
87.4395161290323,9.96975806451613,9.375,87.4395161290323
86.6733870967742,9.96975806451613,9.375,86.6733870967742
85.7157258064516,9.96975806451613,9.375,85.7157258064516
87.6713709677419,9.96975806451613,9.375,87.6713709677419
89.6774193548387,9.96975806451613,9.375,89.6774193548387
88.9415322580645,9.96975806451613,9.375,88.9415322580645
87.9536290322581,9.96975806451613,9.375,87.9536290322581
88.5987903225806,9.96975806451613,9.375,88.5987903225806
89.4153225806452,9.96975806451613,9.375,89.4153225806452
89.9899193548387,9.96975806451613,9.375,89.9899193548387
90.0201612903226,9.96975806451613,9.375,90.0201612903226
88.9415322580645,9.96975806451613,9.375,88.9415322580645
87.7822580645161,9.96975806451613,9.375,87.7822580645161
89.0020161290323,9.96975806451613,9.375,89.0020161290323
90.3931451612903,9.96975806451613,9.375,90.3931451612903
91.2298387096774,9.96975806451613,9.375,91.2298387096774
