Accuracy,Loss
10.080645161290322,2.232254603601271
19.455645161290324,2.237249126741963
21.89516129032258,2.3834697923352643
10.171370967741936,2.9262494856311427
14.465725806451612,3.686867401676793
25.95766129032258,4.25610897464137
21.955645161290324,4.731020409061062
10.766129032258064,5.61835519729122
17.14717741935484,7.198940753936768
19.788306451612904,9.376880491933514
10.0,12.881223161758916
25.423387096774192,14.124837198565084
11.703629032258064,18.52093640604327
23.618951612903224,22.59881624406384
18.407258064516128,27.53172157041488
13.971774193548388,33.0264169508411
9.959677419354838,37.39156121284731
9.98991935483871,36.05212595539708
17.943548387096776,34.425146016766945
12.459677419354838,39.09821714585827
10.02016129032258,37.40208501508159
10.524193548387096,28.855984570903164
10.191532258064516,34.2410647484564
10.02016129032258,32.768120021204794
17.631048387096776,28.907783495995307
19.284274193548388,28.25210216891381
12.550403225806452,29.500564218336535
9.98991935483871,38.05619798475696
19.193548387096776,34.98906174936602
10.070564516129032,37.76692677159463
10.03024193548387,40.10250203532557
18.356854838709676,39.087383750177196
10.483870967741936,40.98339618559807
21.58266129032258,41.62105252665858
19.08266129032258,50.02719322942918
19.243951612903224,56.092065897295555
27.56048387096774,55.89259399906282
14.09274193548387,62.304399896437126
18.830645161290324,57.70010528564453
24.989919354838708,56.775681895594445
27.47983870967742,56.55954356039724
18.508064516129032,63.2929447297127
15.352822580645162,72.43233930526242
24.375,74.20121447655463
22.43951612903226,83.96535509171025
20.37298387096774,76.80683396862399
18.014112903225808,79.50974721600933
8.931451612903226,88.32890647149856
23.044354838709676,87.01981479275611
28.538306451612904,89.50156286916425
28.245967741935484,104.30845981720955
